lifter_id,Name,Sex,BirthYearClass,Country
1,Kate MacDonald,F,40-49,Australia
2,Uyen Pham,F,24-39,Australia
3,Lily Ngo,F,24-39,Australia
4,Kat Trinder,F,24-39,Australia
5,Aeva Petranovic,F,24-39,Australia
6,Melissa Debono,F,24-39,Australia
7,Sokoveti Ugavule,F,24-39,Australia
8,Jayden Burgess,M,19-23,Australia
9,Elliot Pavy,M,19-23,Australia
10,Ahmad Altaq,M,19-23,Australia
11,Luke Lau,M,24-39,Australia
12,Matthew Travers,M,40-49,Australia
13,Mathew Patoulios,M,40-49,Australia
14,Toby Read,M,50-59,Australia
15,Leo Lee,M,24-39,Australia
16,Henry Le,M,24-39,Australia
17,Josh Johnstone,M,24-39,Australia
18,Jason Nguyen #1,M,24-39,Australia
19,Jarrod Witney,M,24-39,Australia
20,Francesco Sugiharto,M,24-39,Australia
21,Ian Dizon,M,24-39,Australia
22,Lewis Polhill,M,24-39,Australia
23,Lachlan Allan,M,24-39,Australia
24,Ricky Lau,M,24-39,Australia
25,John Schulze,M,24-39,Australia
26,Marcus Huynh,M,24-39,Australia
27,Nicholas Cooper,M,24-39,Australia
28,Jonah Morrow,M,24-39,Australia
29,Jack Sargent,M,14-18,Australia
30,Amy Clair,F,24-39,Australia
31,Ruby Olthoff,F,14-18,Australia
32,Wai Hang Wong,M,19-23,Australia
33,Jonathan Chan #2,M,19-23,Australia
34,Sung Hoon Ok,M,19-23,Australia
35,Jaek Coleman,M,19-23,Australia
36,Milan Grdosic,M,19-23,Australia
37,Yao Alexandre Kpade,M,19-23,Australia
38,John Holland,M,70-999,Australia
39,Paul Leikas,M,24-39,Australia
40,Ben Paior-Smith,M,24-39,Australia
41,William Turner #4,M,24-39,Australia
42,Keiya Shigematsu,M,24-39,Australia
43,Paul Tran,M,24-39,Australia
44,Tony Nguyen #12,M,24-39,Australia
45,Yi Hu,M,19-23,Australia
46,Yiannis Papazis,M,24-39,Australia
47,Darvann Hean,M,24-39,Australia
48,Stephen Nguyen,M,24-39,Australia
49,Jonathan Caruso,M,24-39,Australia
50,Aaron Urbani,M,24-39,Australia
51,Maxwell Tabart,M,24-39,Australia
52,Dominic Archer,M,24-39,Australia
53,Josh Brennan #1,M,14-18,Australia
54,Jeremiah Lepore,M,14-18,Australia
55,Jade Millar,F,,Australia
56,Jacqueline Pan,F,19-23,Australia
57,Ursula Pereira,F,24-39,Australia
58,Ruth Czarnecki,F,24-39,Australia
59,Erica Saqueton,F,,Australia
60,Chantelle Delfino,F,24-39,Australia
61,Karina Oakley,F,,Australia
62,Caryle De Guzman,F,,Australia
63,Jasmin Russell,F,,Australia
64,Rebecca Tancevski,F,,Australia
65,Cammilla White,F,24-39,Australia
66,Alison Shiner,F,,Australia
67,Lauren Deverell,F,24-39,Australia
68,Eddy Shao,M,19-23,Australia
69,Thomas McConville,M,19-23,Australia
70,Matthew Rebulado,M,19-23,Australia
71,Daniel Shar,M,19-23,Australia
72,Kyohei Yasuoka,M,24-39,Australia
73,Ezra Duma,M,24-39,Australia
74,Thomas Del Rosario,M,24-39,Australia
75,Jason Noh,M,24-39,Australia
76,Nicholas Van Groesen,M,24-39,Australia
77,Jared Quinto,M,24-39,Australia
78,Ty Forster,M,24-39,Australia
79,Karlo Sumera,M,24-39,Australia
80,Michael Wu,M,24-39,Australia
81,Daniel Liu,M,,Australia
82,Daniel Ly,M,,Australia
83,Mingjun Feng,M,24-39,Australia
84,Matthew Duffin,M,24-39,Australia
85,Terry Kim,M,24-39,Australia
86,Ray Owen,M,,Australia
87,Brodie Lucchitti,M,24-39,Australia
88,Stephen Fong,M,24-39,Australia
89,AJ Rebulado,M,24-39,Australia
90,Josiah Tea,M,19-23,Australia
91,James Que,M,14-18,Australia
92,Jaiden Freeman,M,14-18,Australia
93,Jayden Chand,M,14-18,Australia
94,Monica Hung,F,19-23,Australia
95,Duyen Le,F,24-39,Australia
96,Alyssa D'Azzena,F,24-39,Australia
97,Maggie Leong,F,24-39,Australia
98,Ivy Vo,F,24-39,Australia
99,Yvonne Dai,F,24-39,Australia
100,Lagi Naomi Fruean,F,24-39,Australia
101,Rachel Patterson,F,24-39,Australia
102,Tori Riganias,F,24-39,Australia
103,Bernie Yap,F,24-39,Australia
104,Elizabeth Hovasapian,F,50-59,Australia
105,Richie Lay,M,19-23,Australia
106,Aidil Mohamed,M,19-23,Australia
107,Jordan Tran,M,19-23,Australia
108,Bishoy Awadallah,M,19-23,Australia
109,Đồng Thanh Đại,M,19-23,Australia
110,Mathew Pineo,M,19-23,Australia
111,Jayden Truong,M,19-23,Australia
112,Jacob Warburton,M,24-39,Australia
113,Xavier Coxon,M,19-23,Australia
114,Logan Quinn,M,19-23,Australia
115,David Jame,M,40-49,Australia
116,John Chan,M,24-39,Australia
117,Wai-Keong Ho,M,24-39,Australia
118,Andrii Antonov,M,24-39,Australia
119,Neel Soundararajan,M,24-39,Australia
120,Wing Ho,M,24-39,Australia
121,Kyle Conquest-Hope,M,24-39,Australia
122,Rohan Panchal,M,24-39,Australia
123,Jack Pan,M,24-39,Australia
124,Dan Pham,M,24-39,Australia
125,Uday Manek,M,24-39,Australia
126,Nick Van Kerkhoven,M,24-39,Australia
127,Stefan Solagratio Simanjuntak,M,24-39,Australia
128,Anjana Dabarera,M,24-39,Australia
129,Lachlan Langeberg,M,24-39,Australia
130,Mo Liu,M,24-39,Australia
131,Quan Tran,M,24-39,Australia
132,David Latour,M,40-49,Australia
133,Jesse Rosenberg,M,24-39,Australia
134,Jack Ellis,M,24-39,Australia
135,Shaveel Prasad,M,24-39,Australia
136,Callum Maynard,M,24-39,Australia
137,Alex Luu,M,14-18,Australia
138,Luke Dimitriou,M,14-18,Australia
139,Xavier Victuelles,M,19-23,Australia
140,Maria Houseas,F,19-23,Australia
141,Cristofer Rosa,M,19-23,Australia
142,Jake Muddle,M,19-23,Australia
143,Kevin Chan,M,40-49,Australia
144,Marcus Flanagan,M,40-49,Australia
145,Scott McGilvray,M,40-49,Australia
146,Sonit Singh,M,24-39,Australia
147,Jonah Strickland,M,24-39,Australia
148,Lily-rose Kraatzwest,F,19-23,Australia
149,Amy Mitchell,F,40-49,Australia
150,Jane Smedley,F,60-69,Australia
