meet_id,Date,MeetCountry,MeetState,MeetTown,MeetName,Federation,ParentFederation,Tested,Sanctioned
1,2025-08-17,Australia,NSW,,East Coast Open,APLA,IPF,Yes,Yes
2,2024-10-20,Australia,SA,,AUPC Powerlifting Open,APLA,IPF,Yes,Yes
3,2024-08-04,Australia,NSW,,XGYM Break All Limits Open IV,APLA,IPF,Yes,Yes
4,2025-03-22,Australia,VIC,,Elemental Strength Autumn Showdown,APLA,IPF,Yes,Yes
5,2025-02-16,Australia,NSW,,The Next Alpha Athlete pt.1,APLA,IPF,Yes,Yes
6,2025-08-30,Australia,NSW,,Parageddon,APLA,IPF,Yes,Yes
7,2024-08-18,Australia,NT,,Darwin Open,APLA,IPF,Yes,Yes
8,2024-10-06,Australia,QLD,,Sunshine Coast Open,APLA,IPF,Yes,Yes
9,2024-11-17,Australia,NSW,,The Next Alpha Athlete Competition,APLA,IPF,Yes,Yes
10,2024-10-26,Australia,NSW,,The Hunter Showdown III,APLA,IPF,Yes,Yes
11,2024-12-07,Australia,QLD,,Classic & Equipped Bench Only Nationals,APLA,IPF,Yes,Yes
12,2025-08-02,Australia,TAS,,Tasmania Cup,APLA,IPF,Yes,Yes
13,2026-04-12,Australia,TAS,Burnie,North West Open - Novice,APLA,IPF,Yes,No
14,2025-11-22,Australia,WA,,Grand Prix,APLA,IPF,Yes,Yes
15,2025-10-26,Australia,VIC,,Champion of the Collective - SRSC,APLA,IPF,Yes,Yes
16,2024-05-04,Australia,QLD,,Alliance Day - PerforMotion: Alliance Reborn,APLA,IPF,Yes,Yes
17,2025-11-08,Australia,NSW,,The Final Alpha Athlete,APLA,IPF,Yes,Yes
18,2025-04-13,Australia,NSW,,Western Sydney Open 25.1,APLA,IPF,Yes,Yes
19,2025-07-26,Australia,NSW,,First Nations Cup IV,APLA,IPF,Yes,Yes
20,2025-10-19,Australia,ACT,,Australian Masters Games,APLA,IPF,Yes,Yes
21,2025-08-24,Australia,NSW,,The Real McCloy 2,APLA,IPF,Yes,Yes
22,2025-06-07,Australia,VIC,,TSF Team Champs,APLA,IPF,Yes,Yes
23,2025-11-15,Australia,VIC,,Unity Games,APLA,IPF,Yes,No
24,2024-11-09,Australia,QLD,,Perf Cup II,APLA,IPF,Yes,Yes
25,2025-11-02,Australia,NT,,Northern Strength Classic,APLA,IPF,Yes,Yes
26,2024-05-11,Australia,WA,,The Rumble,APLA,IPF,Yes,Yes
27,2024-04-13,Australia,NSW,,HPC Anniversary Cup IV,APLA,IPF,Yes,Yes
28,2025-03-22,Australia,NSW,,City Strength HQ Open XXI,APLA,IPF,Yes,Yes
29,2025-10-12,Australia,NSW,,Spooky Showdown IV,APLA,IPF,Yes,Yes
30,2025-10-25,Australia,NSW,,SBD Australia Cup,APLA,IPF,Yes,Yes
31,2024-03-16,Australia,NSW,,City Strength HQ Open XVIII,APLA,IPF,Yes,Yes
32,2025-09-28,Australia,SA,,SA Strength Showdown,APLA,IPF,Yes,Yes
33,2024-12-21,Australia,VIC,Ballarat,Stronghold Liftmas Party,APLA,IPF,Yes,Yes
34,2025-04-12,Australia,VIC,,JPS Autumn Lift Off,APLA,IPF,Yes,Yes
35,2026-03-28,Australia,VIC,,Apex Alliance Open IV,APLA,IPF,Yes,Yes
36,2024-02-17,Australia,NSW,,The Real McCloy Bench Press Only,APLA,IPF,Yes,Yes
37,2026-01-17,Australia,NSW,,City Strength HQ Open XXIV,APLA,IPF,Yes,Yes
38,2025-12-13,Australia,NSW,,Warrior of the West X,APLA,IPF,Yes,Yes
39,2025-07-26,Australia,VIC,,Avia Performance Winter Open,APLA,IPF,Yes,Yes
40,2025-04-12,Australia,NSW,,Bunny Bar Bash,APLA,IPF,Yes,Yes
41,2026-04-11,Australia,NSW,,Paragon Open II,APLA,IPF,Yes,Yes
42,2025-11-02,Australia,VIC,,Apex Alliance Open III,APLA,IPF,Yes,Yes
43,2024-09-15,Australia,ACT,,Strength In Solidarity,APLA,IPF,Yes,Yes
44,2026-07-05,Australia,QLD,,2 Beau 2 Furious,APLA,IPF,Yes,Yes
45,2025-12-06,Australia,VIC,,TSF Open,APLA,IPF,Yes,Yes
46,2025-11-15,Australia,VIC,,Elemental Strength Spring Showdown,APLA,IPF,Yes,Yes
47,2024-06-08,Australia,NSW,,Nationals Series: Masters & Equipped,APLA,IPF,Yes,Yes
48,2024-10-05,Australia,WA,,Powermania,APLA,IPF,Yes,Yes
49,2025-11-22,Australia,NSW,,City Strength HQ Open XXIII,APLA,IPF,Yes,Yes
50,2024-08-10,Australia,QLD,,Heavy Metal Havoc 3,APLA,IPF,Yes,Yes
51,2024-11-09,Australia,WA,,Volunteer Cup,APLA,IPF,Yes,Yes
52,2025-12-06,Australia,TAS,,Classic and Equipped Bench Only Nationals,APLA,IPF,Yes,Yes
53,2026-01-18,Australia,QLD,,Summer Sizzle,APLA,IPF,Yes,Yes
54,2025-11-08,Australia,VIC,,Southern Showdown,APLA,IPF,Yes,Yes
55,2024-09-28,Australia,VIC,,MD Strength Lift Off II,APLA,IPF,Yes,Yes
56,2024-09-28,Australia,NSW,,All In Barbell: Strength Trials,APLA,IPF,Yes,Yes
57,2026-07-04,Australia,TAS,,Tasmania Cup II,APLA,IPF,Yes,Yes
58,2025-04-12,Australia,NSW,,Bunny Bar Bash - Novice,APLA,IPF,Yes,No
59,2024-07-07,Australia,NSW,,First Nations Cup III,APLA,IPF,Yes,Yes
60,2025-11-15,Australia,ACT,,Limelight - Novice,APLA,IPF,Yes,No
61,2025-02-08,Australia,ACT,,Tribute,APLA,IPF,Yes,Yes
62,2026-04-12,Australia,TAS,Burnie,North West Open,APLA,IPF,Yes,Yes
63,2025-11-22,Australia,VIC,,Culture Cup VI,APLA,IPF,Yes,Yes
64,2025-11-09,Australia,TAS,,Club Combat 2 - Raw Strength Championships,APLA,IPF,Yes,Yes
65,2025-06-07,Australia,QLD,,Performotion Winter Lifting Open,APLA,IPF,Yes,Yes
66,2025-04-05,Australia,NSW,,South Coast Championships,APLA,IPF,Yes,Yes
67,2026-05-16,Australia,NSW,,Air Force One,APLA,IPF,Yes,Yes
68,2025-02-21,Australia,WA,,Open Nationals,APLA,IPF,Yes,Yes
69,2025-09-20,Australia,TAS,,Catalyst Strength Spring Up,APLA,IPF,Yes,Yes
70,2025-02-02,Australia,WA,,SC Last Chance,APLA,IPF,Yes,Yes
71,2025-03-15,Australia,TAS,,Mega Mass,APLA,IPF,Yes,Yes
72,2024-11-30,Australia,QLD,,Heavy Metal Havoc 2,APLA,IPF,Yes,Yes
73,2025-08-09,Australia,VIC,,Elemental Strength Winter Showdown,APLA,IPF,Yes,Yes
74,2026-05-10,Australia,VIC,,State Championships,APLA,IPF,Yes,Yes
75,2024-08-10,Australia,NSW,,Warrior of the West VII,APLA,IPF,Yes,Yes
76,2024-05-04,Australia,TAS,,Alliance Day - Iron Jungle: The Rise of Powerlifting,APLA,IPF,Yes,Yes
77,2026-01-17,Australia,VIC,,Nexus Performance New Era Strength Meet,APLA,IPF,Yes,Yes
78,2024-05-04,Australia,NSW,,Alliance Day - Adonis Athletics Campbelltown: The Alliance Strikes Back,APLA,IPF,Yes,Yes
79,2025-09-28,Australia,VIC,,MD Strength Slam Down,APLA,IPF,Yes,Yes
80,2024-03-30,Australia,VIC,,C1 Easter Showdown,APLA,IPF,Yes,Yes
81,2026-03-21,Australia,QLD,,Sunshine Coast Open 4,APLA,IPF,Yes,Yes
82,2025-08-23,Australia,VIC,,Nightfall,APLA,IPF,Yes,Yes
83,2025-11-01,Australia,QLD,,Sunshine Coast Open III,APLA,IPF,Yes,Yes
84,2025-10-04,Australia,QLD,,Perf Cup III,APLA,IPF,Yes,Yes
85,2026-05-09,Australia,NSW,,State Championships,APLA,IPF,Yes,Yes
86,2026-02-13,Australia,VIC,,Classic Open Nationals,APLA,IPF,Yes,Yes
87,2024-10-05,Australia,WA,,Night of Champions II,APLA,IPF,Yes,Yes
88,2026-04-12,Australia,VIC,,TSF 9th Birthday Bash,APLA,IPF,Yes,Yes
89,2025-04-05,Australia,QLD,,Sunshine Coast Open II,APLA,IPF,Yes,Yes
90,2024-04-26,Australia,NSW,,Nationals Series: Junior & Sub-Junior Classic,APLA,IPF,Yes,Yes
91,2024-11-17,Australia,VIC,,Apex Alliance Open,APLA,IPF,Yes,Yes
92,2025-07-06,Australia,VIC,,Apex Alliance Open II,APLA,IPF,Yes,Yes
93,2025-12-13,Australia,QLD,,The Townsville Christmas Cup,APLA,IPF,Yes,Yes
94,2026-07-05,Australia,NSW,,Omni Fitness Open,APLA,IPF,Yes,Yes
95,2026-02-28,Australia,TAS,,Trilogy 2,APLA,IPF,Yes,Yes
96,2024-08-03,Australia,TAS,,Catalyst Strength Lift Off,APLA,IPF,Yes,Yes
97,2024-11-16,Australia,TAS,,RAW Strength Championships - Club Combat,APLA,IPF,Yes,Yes
98,2025-02-02,Australia,TAS,,The Big Roar,APLA,IPF,Yes,Yes
99,2024-10-26,Australia,NSW,,SBD Australia Cup - Invitational,APLA,IPF,Yes,Yes
100,2025-07-06,Australia,NSW,,XGYM Break All Limits Open VI,APLA,IPF,Yes,Yes
101,2026-06-20,Australia,NSW,,South Coast Championships IV,APLA,IPF,Yes,Yes
102,2025-07-12,Australia,NSW,,Barbell Geisha: Genesis,APLA,IPF,Yes,Yes
103,2024-03-08,Australia,NSW,,Nationals Series: Open Classic,APLA,IPF,Yes,Yes
104,2025-08-02,Australia,QLD,,Performotion: The Strength Standard,APLA,IPF,Yes,Yes
105,2025-04-27,Australia,NSW,,The Next Alpha Athlete pt.2,APLA,IPF,Yes,Yes
106,2024-11-23,Australia,NSW,Campbelltown,Warrior of the West VIII,APLA,IPF,Yes,Yes
107,2025-02-01,Australia,NSW,,All In Barbell: Strength Trials II,APLA,IPF,Yes,Yes
108,2026-05-16,Australia,NSW,,Air Force One - Novice,APLA,IPF,Yes,No
109,2026-05-09,Australia,WA,,State Championships,APLA,IPF,Yes,Yes
110,2025-12-06,Australia,NSW,,All In Barbell: Strength Trials III,APLA,IPF,Yes,Yes
111,2025-09-20,Australia,WA,,Night of Champions III,APLA,IPF,Yes,Yes
112,2024-10-19,Australia,NSW,,Beyond The Grave,APLA,IPF,Yes,Yes
113,2025-04-27,Australia,VIC,,Clash at the Collective II,APLA,IPF,Yes,Yes
114,2024-11-30,Australia,NSW,,Quiet Focus at GenFit,APLA,IPF,Yes,Yes
115,2025-09-13,Australia,NSW,,Power Pals II,APLA,IPF,Yes,Yes
116,2025-02-15,Australia,QLD,,Last Chance,APLA,IPF,Yes,Yes
117,2025-04-27,Australia,WA,,The Iron Voyage,APLA,IPF,Yes,Yes
118,2025-02-15,Australia,VIC,,Strength Culture Cup V,APLA,IPF,Yes,Yes
119,2026-06-06,Australia,NSW,,The Next Alpha Athlete PT II,APLA,IPF,Yes,Yes
120,2024-02-18,Australia,QLD,,The APA Showcase,APLA,IPF,Yes,Yes
121,2025-09-07,Australia,WA,,Baxter Bench Bash,APLA,IPF,Yes,Yes
122,2025-11-02,Australia,NSW,,XGYM Break All Limits Open VII,APLA,IPF,Yes,Yes
123,2025-05-31,Australia,NSW,,Warrior of the West IX,APLA,IPF,Yes,Yes
124,2024-06-29,Australia,NSW,,City Strength HQ Open XIX,APLA,IPF,Yes,Yes
125,2025-08-03,Australia,NSW,,The Next Alpha Athlete PT 3,APLA,IPF,Yes,Yes
126,2025-04-12,Australia,QLD,,Heavy Metal Havoc 3,APLA,IPF,Yes,Yes
127,2024-07-13,Australia,NSW,,Iron Showdown,APLA,IPF,Yes,Yes
128,2025-11-15,Australia,ACT,,Limelight,APLA,IPF,Yes,Yes
129,2024-09-07,Australia,NSW,Campbelltown,Power Pals,APLA,IPF,Yes,Yes
130,2024-11-09,Australia,VIC,,Stronghold Strength Showdown I,APLA,IPF,Yes,Yes
131,2026-03-07,Australia,NSW,,The Next Alpha Athlete PT I,APLA,IPF,Yes,Yes
132,2025-05-17,Australia,NSW,,Paragon Open I,APLA,IPF,Yes,Yes
133,2025-03-09,Australia,NSW,,XGYM Break All Limits Open V,APLA,IPF,Yes,Yes
134,2025-05-07,Australia,NSW,,Mega Nationals,APLA,IPF,Yes,Yes
135,2024-05-19,Australia,NSW,,XGYM Break All Limits Open III,APLA,IPF,Yes,Yes
136,2026-04-15,Australia,NSW,,Mega Nationals,APLA,IPF,Yes,Yes
137,2024-10-26,Australia,NSW,,SBD Australia Cup - Open,APLA,IPF,Yes,Yes
138,2024-12-01,Australia,NT,,Darwin Open II,APLA,IPF,Yes,Yes
139,2026-06-27,Australia,NSW,,City Strength HQ Open XXV,APLA,IPF,Yes,Yes
140,2025-05-17,Australia,VIC,,MVMT Showdown III,APLA,IPF,Yes,Yes
141,2025-08-17,Australia,WA,,West Coast Open,APLA,IPF,Yes,Yes
